Organisms	Organisms.1
abaa	Acinetobacter baumannii AB031
abw	Acinetobacter baumannii AC29
abal	Acinetobacter baumannii LAC-4
acc	Acinetobacter pittii
ano	Acinetobacter nosocomialis
alc	Acinetobacter lactucae
acal	Acinetobacter calcoaceticus
acd	Acinetobacter oleivorans
aci	Acinetobacter baylyi
att	Acinetobacter sp. TTH0-4
aei	Acinetobacter equi
ajo	Acinetobacter johnsonii
acw	Acinetobacter sp. DUT-2
acv	Acinetobacter sp. TGL-Y2
ahl	Acinetobacter haemolyticus
ajn	Acinetobacter junii
asol	Acinetobacter soli
ala	Acinetobacter larvae
asj	Acinetobacter schindleri
aid	Acinetobacter indicus
adv	Acinetobacter defluvii
arj	Acinetobacter radioresistens
awu	Acinetobacter wuhouensis
acum	Acinetobacter cumulans
agu	Acinetobacter guillouiae
aug	Acinetobacter ursingii
alw	Acinetobacter lwoffii
ads	Acinetobacter dispersus
aber	Acinetobacter bereziniae
atn	Acinetobacter tandoii
achi	Acinetobacter chinensis
mct	Moraxella catarrhalis BBH18
mcs	Moraxella catarrhalis 25240
mcat	Moraxella catarrhalis 25239
moi	Moraxella ovis
mos	Moraxella osloensis
mbl	Moraxella bovoculi
mboi	Moraxella bovis
mcun	Moraxella cuniculi
mbah	Moraxellaceae bacterium HYN0046
son	Shewanella oneidensis
sdn	Shewanella denitrificans
sfr	Shewanella frigidimarina
saz	Shewanella amazonensis
sbl	Shewanella baltica OS155
sbm	Shewanella baltica OS185
sbn	Shewanella baltica OS195
sbp	Shewanella baltica OS223
sbt	Shewanella baltica OS678
sbs	Shewanella baltica OS117
sbb	Shewanella baltica BA175
slo	Shewanella loihica
spc	Shewanella putrefaciens CN-32
shp	Shewanella putrefaciens 200
sse	Shewanella sediminis
spl	Shewanella pealeana
she	Shewanella sp. MR-4
shm	Shewanella sp. MR-7
shn	Shewanella sp. ANA-3
shw	Shewanella sp. W3-18-1
shl	Shewanella halifaxensis
swd	Shewanella woodyi
swp	Shewanella piezotolerans
svo	Shewanella violacea
shf	Shewanella sp. FDAARGOS_354
sja	Shewanella japonica
spsw	Shewanella psychrophila
sbj	Shewanella bicestrii
smav	Shewanella marisflavi
shew	Shewanella sp. WE21
salg	Shewanella algae
slj	Shewanella livingstonensis
smai	Shewanella maritima
spol	Shewanella polaris
sbk	Shewanella benthica
skh	Shewanella khirikhana
ilo	Idiomarina loihiensis L2TR
ili	Idiomarina loihiensis GSL 199
ipi	Idiomarina piscisalsi
idi	Idiomarina sp. X4
idt	Idiomarina sp. OT37-5b
cps	Colwellia psychrerythraea
com	Colwellia sp. MT41
coz	Colwellia sp. PAMC 20917
colw	Colwellia sp. PAMC 21821
cola	Colwellia sp. Arc7-D
cber	Colwellia beringensis
cov	Colwellia sp. Arc7-635
lsd	Litorilituus sediminis
tht	Thalassotalea sp. HSM 43
thap	Thalassotalea sp. PS06
pha	Pseudoalteromonas translucida TAC125
ptn	Pseudoalteromonas translucida KMM 520
pat	Pseudoalteromonas atlantica
psm	Pseudoalteromonas sp. SM9913
pseo	Pseudoalteromonas piratica OCN003
pia	Pseudoalteromonas issachenkonii
pphe	Pseudoalteromonas phenolica
pbw	Pseudoalteromonas sp. Bsw20308
prr	Pseudoalteromonas rubra
plz	Pseudoalteromonas luteoviolacea
paln	Pseudoalteromonas aliena
ppis	Pseudoalteromonas piscicida
pea	Pseudoalteromonas espejiana
pspo	Pseudoalteromonas spongiae
part	Pseudoalteromonas arctica
ptu	Pseudoalteromonas tunicata
png	Pseudoalteromonas nigrifaciens
ptd	Pseudoalteromonas tetraodonis
psen	Pseudoalteromonas sp. NC201
pdj	Pseudoalteromonas donghaensis
paga	Pseudoalteromonas agarivorans
pcar	Pseudoalteromonas carrageenovora
pmaa	Pseudoalteromonas marina
maq	Marinobacter hydrocarbonoclasticus VT8
mhc	Marinobacter hydrocarbonoclasticus ATCC 49840
mad	Marinobacter adhaerens
mbs	Marinobacter sp. BSs20148
msr	Marinobacter salarius
msx	Marinobacter similis
mpq	Marinobacter psychrophilus
mari	Marinobacter sp. CP1
mlq	Marinobacter sp. LQ44
msq	Marinobacter salinus
mara	Marinobacter sp. Arc7-DN-1
marj	Marinobacter sp. JH2
amc	Alteromonas mediterranea DE
amh	Alteromonas mediterranea 615
amaa	Alteromonas mediterranea DE1
amal	Alteromonas mediterranea U4
amae	Alteromonas mediterranea U7
amao	Alteromonas mediterranea U8
amad	Alteromonas mediterranea UM4b
amai	Alteromonas mediterranea UM7
amag	Alteromonas mediterranea MED64
amac	Alteromonas macleodii ATCC 27126
amb	Alteromonas macleodii Balearic Sea AD45
amg	Alteromonas macleodii English Channel 673
amk	Alteromonas macleodii Black Sea 11
alt	Alteromonas naphthalenivorans
aal	Alteromonas australica H 17
aaus	Alteromonas australica DE170
asp	Alteromonas stellipolaris LMG 21856
asq	Alteromonas stellipolaris LMG 21861
aaw	Alteromonas addita
alr	Alteromonas sp. RKMC-009
ale	Alteromonas sp. Mac1
alz	Alteromonas sp. Mac2
apel	Alteromonas pelagimontana
gag	Glaciecola sp. 4H-3-7+YE-5
gni	Glaciecola nitratireducens
gps	Paraglaciecola psychrophila
pmes	Paraglaciecola mesophila
lal	Lacimicrobium alkaliphilum
cate	Catenovulum sp. CCB-QB4
salh	Saliniradius amylolyticus
salm	Salinimonas sediminis
salk	Salinimonas sp. KX18D6
hmi	Hydrocarboniclastica marina
pin	Psychromonas ingrahamii
psy	Psychromonas sp. CNPT3
fbl	Ferrimonas balearica
fes	Ferrimonas sp. S7
mvs	Moritella viscosa
mya	Moritella yayanosii
mmaa	Moritella marina
cja	Cellvibrio japonicus
ceb	Cellvibrio sp. PSBB023
cell	Cellvibrio sp. PSBB006
cek	Cellvibrio sp. KY-YJ-3
ceg	Cellvibrio sp. KY-GH-1
sde	Saccharophagus degradans
ttu	Teredinibacter turnerae
saga	Simiduia agarivorans
spoi	Spongiibacter sp. IMCC21906
zal	Zhongshania aliphaticivorans
osg	Oceanicoccus sagamiensis
mthd	Microbulbifer thermotolerans
micc	Microbulbifer aggregans
maga	Microbulbifer agarilyticus
mii	Microbulbifer sp. A4B17
mict	Microbulbifer sp. THAF38
mhyd	Microbulbifer hydrolyticus
hja	Halioglobus japonicus
halc	Halioglobus maricola
kim	Kineobactrum sp. M2
cbu	Coxiella burnetii RSA 493
cbs	Coxiella burnetii RSA 331
cbd	Coxiella burnetii Dugway 5J108-111
cbg	Coxiella burnetii CbuG_Q212
cbc	Coxiella burnetii CbuK_Q154
cey	Coxiella mudrowiae
cea	Coxiella endosymbiont of Amblyomma americanum
cend	Coxiella endosymbiont of Amblyomma sculptum
rvi	Candidatus Rickettsiella viridis
alg	Aquicella lusitana
asip	Aquicella siphonis
lpn	Legionella pneumophila subsp. pneumophila Philadelphia 1 (serogroup 1)
lph	Legionella pneumophila subsp. pneumophila HL06041035 (serogroup 1)
lpo	Legionella pneumophila subsp. pneumophila Lorraine (serogroup 1)
lpu	Legionella pneumophila subsp. pneumophila LPE509
lpm	Legionella pneumophila subsp. pneumophila Thunder Bay
lpf	Legionella pneumophila Lens (serogroup 1)
lpp	Legionella pneumophila Paris (serogroup 1)
lpc	Legionella pneumophila Corby
lpa	Legionella pneumophila 2300/99 Alcoy (serogroup 1)
lpe	Legionella pneumophila subsp. pneumophila ATCC 43290 (serogroup 12)
llo	Legionella longbeachae
lfa	Legionella fallonii
lha	Legionella hackeliae
lok	Legionella oakridgensis
lcd	Legionella clemsonensis
les	Legionella endosymbiont of Polyplax serrata
lsh	Legionella sainthelensi
llg	Legionella lansingensis
lib	Legionella israelensis
lgt	Legionella geestiana
ljr	Legionella jordanis
lcj	Legionella cherrii
lwa	Legionella waltersii
lss	Legionella spiritensis
tmc	Tatlockia micdadei
mca	Methylococcus capsulatus
metu	Methylococcus sp. IM1
mmt	Methylomonas methanica
mdn	Methylomonas denitrificans
mdh	Methylomonas sp. DH-1
mko	Methylomonas koyamae
metl	Methylomonas sp. LW13
mah	Methylomicrobium alcaliphilum
mbur	Methylomicrobium buryatense
mpsy	Methylovulum psychrotolerans
mmai	Methylocaldum marinum
mmob	Candidatus Methylospira mobilis
ftu	Francisella tularensis subsp. tularensis SCHU S4
ftq	Francisella tularensis subsp. tularensis SCHU S4 NR-28534
ftf	Francisella tularensis subsp. tularensis FSC198
ftw	Francisella tularensis subsp. tularensis WY96-3418
ftr	Francisella tularensis subsp. tularensis NE061598
ftt	Francisella tularensis subsp. tularensis TI0902
ftg	Francisella tularensis subsp. tularensis TIGB03
ftl	Francisella tularensis subsp. holarctica LVS
fth	Francisella tularensis subsp. holarctica OSU18
fta	Francisella tularensis subsp. holarctica FTNF002-00
fts	Francisella tularensis subsp. holarctica F92
fti	Francisella tularensis subsp. holarctica FSC200
fto	Francisella tularensis subsp. holarctica PHIT-FT049
ftc	Francisella tularensis subsp. holarctica FTT_1
ftv	Francisella tularensis subsp. holarctica VT68
ftz	Francisella tularensis subsp. holarctica 425
ftm	Francisella tularensis subsp. mediasiatica FSC147
ftn	Francisella tularensis subsp. novicida U112
ftx	Francisella tularensis subsp. novicida U112
ftd	Francisella tularensis subsp. novicida F6168
fty	Francisella tularensis subsp. novicida DPG 3A-IS
fcf	Francisella cf. novicida Fx1
fcn	Francisella hispaniensis 3523
fhi	Francisella hispaniensis FSC454
fph	Francisella philomiragia subsp. philomiragia ATCC 25017
fpt	Francisella philomiragia subsp. philomiragia ATCC 25015 O#319L
fpi	Francisella philomiragia O#319-029
fpm	Francisella philomiragia O#319-036
fpx	Francisella philomiragia O#319-067
fpz	Francisella philomiragia GA01-2794
fpj	Francisella philomiragia GA01-2801
frt	Francisella salina
fna	Francisella orientalis Toba 04
fnl	Francisella orientalis LADL--07-285A
frf	Francisella sp. FSC1006
fper	Francisella persica
fha	Francisella halioticida
frx	Francisella uliginis
frm	Francisella sp. MA067296
frc	Francisella frigiditurris
fad	Francisella adeliensis
fmi	Francisella marina
foo	Francisella opportunistica
fgu	Allofrancisella guangzhouensis
afri	Allofrancisella frigidaquae
aii	Allofrancisella inopinata
tcx	Hydrogenovibrio crunogenus
htr	Hydrogenovibrio thermophilus
hmar	Hydrogenovibrio marinus
tcy	Thiomicrospira cyclica
tao	Thiomicrospira aerophila
thio	Thiomicrospira sp. S5
mej	Methylophaga nitratireducenticrescens
mec	Methylophaga frappieri
cyq	Cycloclasticus sp. P1
cza	Cycloclasticus zancles
cyy	Cycloclasticus sp. PY97N
psal	Piscirickettsia salmonis
thig	Thiomicrorhabdus sp. G1
tig	Thioploca ingrica
blep	Beggiatoa leptomitiformis
this	Thiothrix sp. SSD2
noc	Nitrosococcus oceani
nhl	Nitrosococcus halophilus
nwa	Nitrosococcus watsonii
nwr	Nitrosococcus wardiae
alv	Allochromatium vinosum
tvi	Thiocystis violascens
tmb	Thioflavicoccus mobilis
mpur	Marichromatium purpuratum
tee	Candidatus Tenderia electrophaga
ntt	Candidatus Nitrosoglobus terrae
tsy	Candidatus Thiodictyon syntrophicum
rhh	Rheinheimera sp. D18
ttp	Thermochromatium tepidum
aeh	Alkalilimnicola ehrlichii
hha	Halorhodospira halophila
hhk	Halorhodospira halochloris
hhc	Ectothiorhodospira haloalkaliphila
ebs	Ectothiorhodospira sp. BSL-9
tgr	Thioalkalivibrio sulfidiphilus
tkm	Thioalkalivibrio sp. K90mix
tni	Thioalkalivibrio nitratireducens
tti	Thioalkalivibrio paradoxus
tvr	Thioalkalivibrio versutus
ssal	Spiribacter salinus
spiu	Spiribacter curvatus
sros	Spiribacter roseus
spiz	Spiribacter sp. 2438
aprs	Acidihalobacter prosperus
hna	Halothiobacillus neapolitanus
haz	Halothiobacillus sp. LS2
wma	Wenzhouxiangella marina
woc	Woeseia oceani
gai	Granulosicoccus antarcticus
ghl	Guyparkeria halophila
ttc	Thiohalobacter thiocyanaticus
hch	Hahella chejuensis
hahe	Hahella sp. KA22
csa	Chromohalobacter salexigens
hel	Halomonas elongata
hcs	Halomonas campaniensis
hak	Halomonas sp. KO116
ham	Halomonas sp. R57-5
hhu	Halomonas huangheensis
hco	Halomonas chromatireducens
hsi	Halomonas aestuarii
halo	Halomonas sp. 1513
hhh	Halomonas hydrothermalis
hbe	Halomonas beimenensis
hag	Halomonas sp. GFAJ-1
haf	Halomonas sp. SF2003
halk	Halomonas alkaliphila
hvn	Halomonas venusta
hol	Halomonas olivaria
hsr	Halomonas sulfidaeris
hmd	Halomonas meridiana
haxi	Halomonas axialensis
ple	Candidatus Portiera aleyrodidarum BT-B-HRs
ply	Candidatus Portiera aleyrodidarum BT-B-HRs
plr	Candidatus Portiera aleyrodidarum BT-QVLC
plo	Candidatus Portiera aleyrodidarum BT-QVLC
pld	Candidatus Portiera aleyrodidarum TV
plb	Candidatus Portiera aleyrodidarum TV-BCN
plc	Candidatus Portiera aleyrodidarum AD-CAI
pli	Candidatus Portiera aleyrodidarum AF-CAI
paly	Candidatus Portiera aleyrodidarum MED
crp	Candidatus Carsonella ruddii PV (Pachypsylla venusta)
cru	Candidatus Carsonella ruddii CE (Ctenarytaina eucalypti)
crc	Candidatus Carsonella ruddii CS (Ctenarytaina spatulata)
crt	Candidatus Carsonella ruddii HT (Heteropsylla texana)
crh	Candidatus Carsonella ruddii HC (Heteropsylla cubana)
crv	Candidatus Carsonella ruddii PC (Pachypsylla celtidis)
cri	Candidatus Carsonella ruddii DC (Diaphorina citri)
eme	Candidatus Evansia muelleri
zpl	Zymobacter palmae
haa	Halotalea alkalilenta
cmai	Cobetia marina
kus	Kushneria konosiri
kma	Kushneria marisflavi
kuy	Kushneria sp. YCWA18
paur	Pistricoccus aurantiacus
abo	Alcanivorax borkumensis
adi	Alcanivorax dieselolei
apac	Alcanivorax pacificus
aln	Alcanivorax sp. NBRC 101098
axe	Alcanivorax xenomutans
kak	Ketobacter alkanivorans
kko	Kangiella koreensis
kge	Kangiella geojedonensis
ksd	Kangiella sediminilitoris
kpd	Kangiella profundi
mmw	Marinomonas sp. MWYL1
mme	Marinomonas mediterranea
mpc	Marinomonas posidonica
mpri	Marinomonas primoryensis
tol	Thalassolituus oleivorans MIL-1
tor	Thalassolituus oleivorans R6-15
oai	Oleispira antarctica
mars	Marinobacterium aestuarii
bsan	Bacterioplanes sanyensis
ncu	Neptunomonas concharum
nik	Nitrincola sp. KXZD1103
bmar	Bermanella marisrubri
gsn	Gynuella sunshinyii
rfo	Reinekea forsetii
ome	Oleiphilus messinensis
llp	Litoricola lipolytica
aha	Aeromonas hydrophila subsp. hydrophila ATCC 7966
ahy	Aeromonas hydrophila ML09-119
ahd	Aeromonas hydrophila YL17
ahr	Aeromonas hydrophila AL09-71
ahp	Aeromonas hydrophila pc104A
ahj	Aeromonas hydrophila J-1
ahh	Aeromonas hydrophila AL06-06
ahi	Aeromonas hydrophila AH10
aaj	Aeromonas hydrophila MX16A
asa	Aeromonas salmonicida subsp. salmonicida A449
aeo	Aeromonas salmonicida O23A
avr	Aeromonas veronii B565
avo	Aeromonas veronii TH0426
amed	Aeromonas media
asr	Aeromonas schubertii
adh	Aeromonas dhakensis
acav	Aeromonas caviae
aem	Aeromonas sp. CU5
aea	Aeromonas sp. ASNIH3
arv	Aeromonas rivipollensis
aes	Aeromonas sp. ASNIH5
ael	Aeromonas encheleia
tau	Tolumonas auensis
oce	Oceanimonas sp. GK1
ocm	Oceanisphaera avium
opf	Oceanisphaera profunda
zdf	Zobellella denitrificans
dno	Dichelobacter nodosus
chj	Cardiobacterium hominis
gap	Gilliamella apicola
fpp	Frischella perrara
orb	Orbus sp. IPMB12
sdf	Steroidobacter denitrificans
sok	Solimonas sp. K1W22B-7
sini	Sinimarinibacterium sp. NLF-5-8
gbi	Immundisolibacter cernigliae
slim	Sulfuricaulis limicola
sva	Sulfurifustis variabilis
acii	Acidiferrobacter sp. SPIII_3
saln	Salinisphaera sp. LB1
tbn	Thiolapillus brandeum
seds	Sedimenticola thiotaurini
tsn	Candidatus Thioglobus singularis PS1
thin	Candidatus Thioglobus sp. NP1
tho	Candidatus Thioglobus autotrophicus
pspi	Pseudohongiella spirulinae
eof	Endosymbiont of Sipalinus gigas
rev	Candidatus Reidiella endopervernicosa
rma	Candidatus Ruthia magnifica (Calyptogena magnifica)
reo	Candidatus Ruthia endofausta
vok	Candidatus Vesicomyosocius okutanii (Calyptogena okutanii)
ebh	Endosymbiont of Bathymodiolus septemdierum
bci	Baumannia cicadellinicola Hc (Homalodisca coagulata)
bcib	Candidatus Baumannia cicadellinicola BGSS
bcig	Candidatus Baumannia cicadellinicola B-GSS
gpb	Gamma proteobacterium HdN1
enm	Endosymbiont of unidentified scaly snail isolate Monju
nme	Neisseria meningitidis MC58 (serogroup B)
nmp	Neisseria meningitidis alpha710 (serogroup B)
nmh	Neisseria meningitidis H44/76 (serogroup B)
nmd	Neisseria meningitidis G2136 (serogroup B)
nmm	Neisseria meningitidis M01-240149 (serogroup B)
nms	Neisseria meningitidis M01-240355 (serogroup B)
nmq	Neisseria meningitidis M04-240196 (serogroup B)
nmz	Neisseria meningitidis NZ-05/33 (serogroup B)
nma	Neisseria meningitidis Z2491 (serogroup A)
nmw	Neisseria meningitidis WUE 2594 (serogroup A)
nmx	Neisseria meningitidis 510612 (serogroup A)
nmc	Neisseria meningitidis FAM18 (serogroup C)
nmn	Neisseria meningitidis 053442 (serogroup C)
nmt	Neisseria meningitidis 8013 (serogroup C)
nmi	Neisseria meningitidis alpha14 (cnl strain)
ngo	Neisseria gonorrhoeae FA 1090
ngk	Neisseria gonorrhoeae NCCP11945
nla	Neisseria lactamica
nel	Neisseria elongata
nwe	Neisseria weaveri
nsi	Neisseria mucosa FDAARGOS_260
nmj	Neisseria mucosa ATCC 19696
nei	Neisseria chenwenguii
nek	Neisseria sp. KEM232
nfv	Neisseria flavescens
nsf	Neisseria subflava
nzl	Neisseria zalophi
naq	Neisseria animalis
nbl	Neisseria brasiliensis
nzo	Neisseria zoodegmatis
nci	Neisseria canis
salv	Snodgrassella alvi
kki	Kingella kingae
koa	Kingella oralis
vff	Vitreoscilla filiformis
vit	Vitreoscilla sp. C1
ecor	Eikenella corrodens
eex	Eikenella exigua
smur	Simonsiella muelleri
aff	Alysiella filiformis
cste	Conchiformibius steedae
nba	Neisseriaceae bacterium DSM 100970
cvi	Chromobacterium violaceum
cvc	Chromobacterium vaccinii
chro	Chromobacterium sp. ATCC 53434
chri	Chromobacterium sp. IIBBL 112-1
crz	Chromobacterium rhizoryzae
chrb	Chromobacterium sp. IIBBL 274-1
chrm	Chromobacterium sp. 257-1
chae	Chromobacterium haemolyticum
iod	Iodobacter sp. H11R3
ifl	Iodobacter fluviatilis
lhk	Laribacter hongkongensis
pse	Pseudogulbenkiania sp. NH8B
jeu	Jeongeupia sp. USM3
aql	Aquaspirillum sp. LM1
amah	Aquitalea magnusonii
aqs	Aquitalea sp. USM4
dee	Deefgea sp. D17
chiz	Chitinibacter sp. 2T18
cfon	Chitinibacter fontanus
rso	Ralstonia solanacearum GMI1000
rsc	Ralstonia solanacearum CFBP2957
rsl	Ralstonia solanacearum PSI07
rsn	Ralstonia solanacearum Po82
rsm	Ralstonia solanacearum CMR15
rse	Ralstonia solanacearum FQY_4
rsy	Ralstonia solanacearum UY031
rpi	Ralstonia pickettii 12J
rpf	Ralstonia pickettii 12D
rpj	Ralstonia pickettii DTP0602
rmn	Ralstonia mannitolilytica
rin	Ralstonia insidiosa
rpu	Ralstonia pseudosolanacearum
reh	Cupriavidus necator H16
cnc	Cupriavidus necator N-1
cuh	Cupriavidus necator NH9
reu	Cupriavidus pinatubonensis JMP134
rme	Cupriavidus metallidurans
cti	Cupriavidus taiwanensis
cbw	Cupriavidus basilensis
cgd	Cupriavidus gilardii
ccup	Cupriavidus sp. USMAHM13
cup	Cupriavidus malaysiensis
cuu	Cupriavidus sp. USMAA2-4
cpau	Cupriavidus pauculus
cox	Cupriavidus oxalaticus
bma	Burkholderia mallei ATCC 23344
bmv	Burkholderia mallei SAVP1
bml	Burkholderia mallei NCTC 10229
bmn	Burkholderia mallei NCTC 10247
bmal	Burkholderia mallei 23344
bmae	Burkholderia mallei 6
bmaq	Burkholderia mallei BMQ
bmai	Burkholderia mallei 2000031063
bmaf	Burkholderia mallei FMH 23344
bmaz	Burkholderia mallei NCTC 10247
bmab	Burkholderia mallei 2002734299
bps	Burkholderia pseudomallei K96243
bpm	Burkholderia pseudomallei 1710b
bpl	Burkholderia pseudomallei 1106a
bpd	Burkholderia pseudomallei 668
bpr	Burkholderia pseudomallei MSHR346
bpse	Burkholderia pseudomallei MSHR305
bpsm	Burkholderia pseudomallei MSHR511
bpsu	Burkholderia pseudomallei MSHR146
bpsd	Burkholderia pseudomallei MSHR520
bpz	Burkholderia pseudomallei 1026b
bpq	Burkholderia pseudomallei BPC006
bpk	Burkholderia pseudomallei NCTC 13179
bpsh	Burkholderia pseudomallei HBPUB10134a
bpsa	Burkholderia pseudomallei NAU35A-3
bpso	Burkholderia pseudomallei A79A
but	Burkholderia pseudomallei TSV202
bte	Burkholderia thailandensis E264
btq	Burkholderia thailandensis 2002721723
btj	Burkholderia thailandensis E444
btz	Burkholderia thailandensis H0587
btd	Burkholderia thailandensis MSMB121
btv	Burkholderia thailandensis MSMB59
bthe	Burkholderia thailandensis E254
bthm	Burkholderia thailandensis USAMRU Malaysia #20
btha	Burkholderia thailandensis 2003015869
bthl	Burkholderia thailandensis 2002721643
bok	Burkholderia oklahomensis E0147
boc	Burkholderia oklahomensis C6786
buu	Burkholderia sp. BDU6
bvi	Burkholderia vietnamiensis G4
bve	Burkholderia vietnamiensis LMG 10929
bur	Burkholderia lata
bcn	Burkholderia cenocepacia AU 1054
bch	Burkholderia cenocepacia HI2424
bcm	Burkholderia cenocepacia MC0-3
bcj	Burkholderia cenocepacia J2315
bcen	Burkholderia cenocepacia DDS 22E-1
bcew	Burkholderia cenocepacia DWS 37E-2
bceo	Burkholderia cenocepacia H111
bam	Burkholderia ambifaria AMMD
bac	Burkholderia ambifaria MC40-6
bmj	Burkholderia multivorans ATCC 17616 (Tohoku)
bmu	Burkholderia multivorans ATCC 17616 (JGI)
bmk	Burkholderia multivorans DDS 15A-1
bmul	Burkholderia multivorans ATCC BAA-247
bct	Burkholderia cepacia GG4
bced	Burkholderia cepacia DDS 7H-2
bcep	Burkholderia cepacia ATCC 25416
bdl	Burkholderia dolosa
bpyr	Burkholderia pyrrocinia
bcon	Burkholderia contaminans
bub	Burkholderia ubonensis
bdf	Burkholderia diffusa
blat	Burkholderia latens
btei	Burkholderia territorii
bsem	Burkholderia seminalis
bpsl	Burkholderia pseudomultivorans
bmec	Burkholderia metallica
bstg	Burkholderia stagnalis
bstl	Burkholderia stabilis
bgl	Burkholderia glumae BGR1
bgu	Burkholderia glumae LMG 2196 = ATCC 33617
bug	Burkholderia sp. CCGE1001
bgf	Burkholderia sp. CCGE1003
bgd	Burkholderia gladioli BSR3
bgo	Burkholderia gladioli ATCC 10248
byi	Burkholderia sp. YI23
buk	Burkholderia sp. KJ006
buo	Burkholderia insecticola
bue	Burkholderia sp. RPE67
bul	Burkholderia sp. 2002721687
buq	Burkholderia sp. HB1
bgp	Burkholderia plantarii PG1
bpla	Burkholderia plantarii ATCC 43733
bud	Burkholderia sp. Bp5365
bum	Burkholderia sp. PAMC 26561
bui	Burkholderia sp. PAMC 28687
bxe	Paraburkholderia xenovorans LB400
bxb	Paraburkholderia xenovorans LB400
bph	Paraburkholderia phymatum
bge	Paraburkholderia sp. CCGE1002
bpx	Paraburkholderia phenoliruptrix
bpy	Paraburkholderia phytofirmans PsJN
buz	Paraburkholderia phytofirmans OLGA172
bfn	Paraburkholderia fungorum
bcai	Paraburkholderia caribensis
pspw	Paraburkholderia sprentiae
para	Paraburkholderia sp. SOS3
parb	Paraburkholderia aromaticivorans
phs	Paraburkholderia hospita
pter	Paraburkholderia terrae
pgp	Paraburkholderia graminis
pcj	Paraburkholderia caledonica
pts	Paraburkholderia terricola
pcaf	Paraburkholderia caffeinilytica
pmeg	Paraburkholderia megapolitana
brh	Paraburkholderia rhizoxinica
pnu	Polynucleobacter asymbioticus
pne	Polynucleobacter necessarius (Euplotes aediculatus)
pdq	Polynucleobacter duraquae
poh	Polynucleobacter paneuropaeus
ppk	Pandoraea pnomenusa 3kgm
ppno	Pandoraea pnomenusa RB38
ppnm	Pandoraea pnomenusa DSM 16536
prb	Pandoraea pnomenusa
ppul	Pandoraea pulmonicola
pspu	Pandoraea sputorum
papi	Pandoraea apista
pve	Pandoraea vervacti
pox	Pandoraea oxalativorans
ptx	Pandoraea thiooxydans
pfg	Pandoraea faecigallinarum
pnr	Pandoraea norimbergensis
pand	Pandoraea sp. XY-2
pfib	Pandoraea fibrosis
plg	Paucimonas lemoignei
hyf	Ephemeroptericola cinctiostellae
lmir	Lautropia mirabilis
mcys	Mycoavidus cysteinexigens
caba	Caballeronia sp. SBC2
limn	Limnobacter sp. SAORIC-580
cari	Chitinimonas arctica
bpe	Bordetella pertussis Tohama I
bpc	Bordetella pertussis CS
bper	Bordetella pertussis 18323
bpet	Bordetella pertussis B1917
bpeu	Bordetella pertussis 137
bpar	Bordetella parapertussis Bpp5
bpa	Bordetella parapertussis 12822
bbh	Bordetella bronchiseptica 253
bbr	Bordetella bronchiseptica RB50
bbm	Bordetella bronchiseptica MO149
bbx	Bordetella bronchiseptica S798
bpt	Bordetella petrii
bav	Bordetella avium
bho	Bordetella holmesii ATCC 51541
bhm	Bordetella holmesii 44057
bhz	Bordetella hinzii
btrm	Bordetella trematum
bbro	Bordetella bronchialis
bfz	Bordetella flabilis
bpdz	Bordetella pseudohinzii
boh	Bordetella sp. H567
bgm	Bordetella genomosp. 13
boz	Bordetella sp. HZ20
boj	Bordetella sp. J329
axy	Achromobacter xylosoxidans A8
axo	Achromobacter xylosoxidans NH44784-1996
axn	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061
axx	Achromobacter xylosoxidans NCTC10807
adt	Achromobacter denitrificans
ais	Achromobacter insolitus
asw	Achromobacter spanius
achr	Achromobacter sp. AONIH1
achb	Achromobacter sp. B7
teq	Taylorella equigenitalis MCE9
tea	Taylorella equigenitalis ATCC 35865
teg	Taylorella equigenitalis 14/56
tas	Taylorella asinigenitalis MCE3
tat	Taylorella asinigenitalis 14/45
put	Pusillimonas sp. T7-7
pus	Pusillimonas sp. ye3
pud	Pusillimonas sp. DMV24BSW_D
aka	Advenella kashmirensis
amim	Advenella mimigardefordensis
cdn	Castellaniella defragrans
bpsi	Basilea psittacipulmonis
afa	Alcaligenes faecalis ZD02
afq	Alcaligenes faecalis JQ135
aaqu	Alcaligenes aquatilis
phn	Paenalcaligenes hominis
odi	Orrella dioscoreae
our	Oligella urethralis
pig	Pigmentiphaga sp. H8
pacr	Pigmentiphaga aceris
kgy	Kerstersia gyiorum
rfr	Rhodoferax ferrireducens
rsb	Rhodoferax saidenbachensis
rac	Rhodoferax antarcticus
rhy	Rhodoferax koreense
rhf	Rhodoferax sp. CHu59-6-5
rhg	Rhodoferax sp. Gr-4
pol	Polaromonas sp. JS666
pna	Polaromonas naphthalenivorans
pos	Polaromonas sp. SP1
poo	Polaromonas sp. Pch-P
pvac	Polaromonas vacuolata
aav	Acidovorax citrulli
ajs	Acidovorax sp. JS42
dia	Acidovorax ebreus
aaa	Acidovorax avenae
ack	Acidovorax sp. KKS102
acra	Acidovorax sp. RAC01
acid	Acidovorax carolinensis NA2
acip	Acidovorax carolinensis P4
acin	Acidovorax carolinensis NA3
acis	Acidovorax carolinensis P3
acio	Acidovorax sp. 1608163
amon	Acidovorax monticola
vei	Verminephrobacter eiseniae
dac	Delftia acidovorans
del	Delftia sp. Cs1-4
dts	Delftia tsuruhatensis
dhk	Delftia sp. HK171
vap	Variovorax paradoxus S110
